cohort,period_cohort,user_pseudo_id,level_starts,days,level_starts_per_day,sessions,sessions_per_day
control,control-period,029B52611D7A1B8CC614B91866D109D5,1,1,1.0,1,1.0
control,control-period,029D53C3C42C44D6F511D65F3BD2C372,53,1,53.0,1,1.0
control,control-period,029EBD2B01A3857606BBCCC1AF8992D4,5,1,5.0,1,1.0
control,control-period,02B2A6606975971F9D79F56EF63D6A24,12,1,12.0,1,1.0
control,control-period,02B38EE56B5C083073314272A03B507C,12,1,12.0,1,1.0
control,control-period,02BDEEED9EC58C4DF3E3808CFF51C484,5,1,5.0,1,1.0
control,control-period,02C5F95C93083511782E67C5AFA6D967,28,4,7.0,3,1.0
control,control-period,02C7E17F5BC64242F6F383B570BF1EFE,1,1,1.0,1,1.0
treatment,pre-period,02CA9DD43A7BE3472BB48D0B0F72D52A,12,2,6.0,2,1.0
treatment,post-period,02CA9DD43A7BE3472BB48D0B0F72D52A,8,2,4.0,1,1.0
control,control-period,02CF64D58B4840DD7AD18750943C2833,27,5,5.4,4,1.0
control,control-period,02D40571ECB28F7EE31F8E3EA65EA68E,13,1,13.0,1,1.0
treatment,post-period,02F138100A427AC9282F4CB9BED8A857,29,9,3.2222222222222223,9,1.0
treatment,pre-period,02F138100A427AC9282F4CB9BED8A857,4,1,4.0,1,1.0
treatment,post-period,02F5084C948BF823B7261A0353E92EE3,164,11,14.909090909090908,14,1.5555555555555556
treatment,pre-period,02F5084C948BF823B7261A0353E92EE3,28,1,28.0,2,2.0
treatment,pre-period,0303927EE9F2405FB1F282BFDFA6F39C,8,3,2.6666666666666665,3,1.0
treatment,post-period,0303927EE9F2405FB1F282BFDFA6F39C,11,3,3.6666666666666665,2,1.0
control,control-period,030D58D3258598A9563844AD6A28FA61,26,11,2.3636363636363638,16,1.4545454545454546
control,control-period,0310557C94EE83EB1B91DB1E61EA4203,7,1,7.0,1,1.0
control,control-period,0318C42AEF29C012B2BA556EEF7A7661,33,6,5.5,9,1.5
treatment,post-period,031E8A6C7AA76CC5B954EE4229A5CF98,1,1,1.0,0,
treatment,pre-period,031E8A6C7AA76CC5B954EE4229A5CF98,5,2,2.5,3,1.5
control,control-period,032429BB3CF9541D55447C36168A8C6E,6,2,3.0,3,1.5
treatment,post-period,0327F416764D41EC8BB412C34A06C8D5,2,1,2.0,0,
treatment,pre-period,0327F416764D41EC8BB412C34A06C8D5,8,2,4.0,2,1.0
control,control-period,03546CF44D99271301F518C2D8119543,2,1,2.0,0,
treatment,post-period,0369D49295124D6FD820D277DD8DF975,9,3,3.0,1,1.0
treatment,pre-period,0369D49295124D6FD820D277DD8DF975,2,1,2.0,1,1.0
treatment,post-period,0373DF7959F6867CDFB1C905D39CE67C,155,14,11.071428571428571,16,1.1428571428571428
treatment,pre-period,0373DF7959F6867CDFB1C905D39CE67C,3,1,3.0,1,1.0
control,control-period,03780EE9CFF9761E7D40266B65D30158,15,4,3.75,4,1.0
control,control-period,03796841113215C2DB97572ECFB2D9D4,35,5,7.0,6,1.5
treatment,pre-period,037DAC225F0C1E54657770CD201CDDA7,78,11,7.0909090909090908,14,1.4
treatment,post-period,037DAC225F0C1E54657770CD201CDDA7,271,32,8.46875,44,1.375
control,control-period,037EE2BF567582E3E022B42F6A779E08,9,3,3.0,3,1.0
control,control-period,0382C91508208943B96471068D9D3E78,13,2,6.5,2,1.0
treatment,pre-period,0382D8746EC192BCE3C3C84112BFCCAA,5,1,5.0,1,1.0
treatment,post-period,0382D8746EC192BCE3C3C84112BFCCAA,14,1,14.0,1,1.0
control,control-period,03896D205DD7A729C6D1269749A0267A,22,1,22.0,4,4.0
control,control-period,038ECB9DA7C88F11088134C7FFB99DBD,8,2,4.0,2,1.0
control,control-period,03915D9B9DC76855CC63C18E94C93760,39,11,3.5454545454545454,13,1.1818181818181819
treatment,post-period,0393E8CD10D9BAF3E2F06D31395151E6,190,3,63.333333333333336,5,2.5
treatment,pre-period,0393E8CD10D9BAF3E2F06D31395151E6,3,1,3.0,1,1.0
treatment,pre-period,03948FE68D30FD7BD6B46D1993062581,5,1,5.0,1,1.0
treatment,post-period,03948FE68D30FD7BD6B46D1993062581,21,3,7.0,2,1.0
control,control-period,03993DEF647B5BD37BFB2AB96D54F840,10,1,10.0,1,1.0
treatment,post-period,039C79F352548940D54CBCE8742B99B5,9,3,3.0,3,1.5
treatment,pre-period,039C79F352548940D54CBCE8742B99B5,1,1,1.0,1,1.0
treatment,pre-period,03A9D32C44665A9E15CFCCEDC9F68EDB,4,3,1.3333333333333333,4,1.3333333333333333
treatment,post-period,03A9D32C44665A9E15CFCCEDC9F68EDB,1214,71,17.098591549295776,266,3.7464788732394365
treatment,post-period,03B685883D78D1DB9F67A86635F9D788,726,7,103.71428571428571,10,1.6666666666666667
treatment,pre-period,03B685883D78D1DB9F67A86635F9D788,247,1,247.0,2,2.0
treatment,pre-period,03C225A0AF05058C60D6CE360D51ACBF,7,2,3.5,2,1.0
treatment,post-period,03C225A0AF05058C60D6CE360D51ACBF,5,1,5.0,1,1.0
treatment,pre-period,03C785126C8E65CF455DFF3C671E5DC0,0,0,,1,1.0
treatment,post-period,03C785126C8E65CF455DFF3C671E5DC0,21,3,7.0,2,1.0
control,control-period,03C9F7D8C365EBEF3C98122061BFE335,5,1,5.0,1,1.0
treatment,pre-period,03D09EC0E7D363DD6E6F8E96E71EF821,1,1,1.0,1,1.0
treatment,post-period,03D09EC0E7D363DD6E6F8E96E71EF821,4,3,1.3333333333333333,2,1.0
treatment,pre-period,03E05B9F728257B2F739CF0BB4497166,3,1,3.0,3,3.0
treatment,post-period,03E05B9F728257B2F739CF0BB4497166,21,7,3.0,9,1.2857142857142858
control,control-period,03EBC8C0828110DFC1F7696DF8CA6CAC,3,1,3.0,1,1.0
control,control-period,03EDD80C203A7F82951E2DF891F92EFE,4,1,4.0,1,1.0
control,control-period,03EFE49CE6F01EF07999FC6430187192,29,3,9.6666666666666661,3,1.0
control,control-period,0409A1CE83D1D4DC0F01E2DFA44ED555,34,11,3.0909090909090908,12,1.0909090909090908
control,control-period,04165EA2996046BF44B478B53D1F8194,36,4,9.0,4,1.0
control,control-period,04187BDF64181D5B39B4B44182CB0006,1,1,1.0,1,1.0
treatment,pre-period,04311C56F5F87F352C135466C7087618,12,7,1.7142857142857142,8,1.1428571428571428
treatment,post-period,04311C56F5F87F352C135466C7087618,116,37,3.1351351351351351,44,1.2222222222222223
control,control-period,0437C4C4800106103B7B7EBD7A7CD76D,9,1,9.0,1,1.0
treatment,post-period,043BBE7A49CFB1ABF4FA38E7A5843A87,4,1,4.0,1,1.0
treatment,pre-period,043BBE7A49CFB1ABF4FA38E7A5843A87,4,1,4.0,1,1.0
treatment,pre-period,0446949CDEB27AEA0A1151792973D6FB,3,1,3.0,1,1.0
treatment,post-period,0446949CDEB27AEA0A1151792973D6FB,11,5,2.2,4,1.0
control,control-period,0458C336714B6986CD8BF62F5B7FA382,48,2,24.0,5,2.5
control,control-period,04642AC8247317441C678A94CB1ECCC7,102,2,51.0,3,1.5
control,control-period,0468A3491A70948EFEBE92DAA699F4CF,150,25,6.0,49,2.0416666666666665
control,control-period,0469EB663D0047F33AA8E0F65F7839AC,1,1,1.0,2,2.0
treatment,post-period,046CC8D512A010F60CB1EB26AAE41757,5,2,2.5,2,1.0
treatment,pre-period,046CC8D512A010F60CB1EB26AAE41757,19,2,9.5,2,1.0
control,control-period,047A8E5DD1D96C2C7A7F6CC508BC78CF,1,1,1.0,1,1.0
treatment,pre-period,04922912BE9A2473AFC825E6C65B1E76,1,1,1.0,1,1.0
treatment,post-period,04922912BE9A2473AFC825E6C65B1E76,2,2,1.0,1,1.0
treatment,post-period,04926B470F33701E60194D2083E7C4EA,22,7,3.1428571428571428,9,1.5
treatment,pre-period,04926B470F33701E60194D2083E7C4EA,2,1,2.0,1,1.0
treatment,post-period,0492FB77E1C23B1993CC0B871AACC8C2,51,5,10.2,4,1.0
treatment,pre-period,0492FB77E1C23B1993CC0B871AACC8C2,3,1,3.0,1,1.0
control,control-period,049A296C5B282AF7100E0BC093589617,23,18,1.2777777777777777,23,1.2777777777777777
control,control-period,04B79CD509993315A61178434AC65ACC,25,1,25.0,0,
control,control-period,04BF859610A5781EA9A329E23ACB99E0,2,1,2.0,1,1.0
treatment,pre-period,04BFCF69CE859FD62D429C70F2EC1575,7,2,3.5,2,1.0
treatment,post-period,04BFCF69CE859FD62D429C70F2EC1575,1,1,1.0,0,
treatment,pre-period,04C1B862AFA39703243166C625EBBD40,16,2,8.0,2,1.0
treatment,post-period,04C1B862AFA39703243166C625EBBD40,6,1,6.0,0,
control,control-period,04C56E1170E544DEDB0032138572EF45,4,1,4.0,1,1.0
control,control-period,04D1448BED7366A1CACEDA442F7A18D8,17,1,17.0,1,1.0
control,control-period,04D9A2EAFCC291BF86F624008C55776C,5,1,5.0,1,1.0
control,control-period,04EB70477096F5CE71C59900BDC3EEC7,8,1,8.0,1,1.0
control,control-period,04EF01C1F4723249F90F920DF018F16C,11,1,11.0,1,1.0
treatment,post-period,04F397E482E77FD2B7CAEB81E732790C,51,7,7.2857142857142856,7,1.1666666666666667
treatment,pre-period,04F397E482E77FD2B7CAEB81E732790C,17,1,17.0,2,2.0
control,control-period,04FF1563F0F9C6B7CB15024E5534601B,23,2,11.5,3,1.5
control,control-period,050231DF01854EFA691E0D5F4DB9ADB2,110,15,7.333333333333333,25,1.6666666666666667
control,control-period,050A6530B5D97065581BBD2A9F7F19C5,7,2,3.5,3,1.0
control,control-period,051B165EBFFC4769333F87CBF5184770,3,1,3.0,1,1.0
control,control-period,051BB6E9EC8D2B13A70DB57A132B1A2F,48,4,12.0,5,1.25
control,control-period,051F80A715267A0035D626F7EB86ABBD,17,2,8.5,2,1.0
treatment,pre-period,0522DA831987D528A1379D29EBF9AFE3,10,1,10.0,1,1.0
treatment,post-period,0522DA831987D528A1379D29EBF9AFE3,16,2,8.0,1,1.0
control,control-period,05313D476FE6446BA834CF391D7A6C5A,1,1,1.0,1,1.0
treatment,post-period,053257434A232D4F015DABF095D2509B,51,4,12.75,9,2.25
treatment,pre-period,053257434A232D4F015DABF095D2509B,1,1,1.0,1,1.0
control,control-period,053914EB0DA99A613D6AF0E92FCA9940,6,2,3.0,2,1.0
treatment,pre-period,053FFBAB6879C1E7E1915E40C191F61D,39,6,6.5,8,1.3333333333333333
treatment,post-period,053FFBAB6879C1E7E1915E40C191F61D,7,1,7.0,0,
treatment,post-period,05407E04B9FA64CB63D8FA1D966AD6A2,152,30,5.0666666666666664,30,1.0
treatment,pre-period,05407E04B9FA64CB63D8FA1D966AD6A2,10,2,5.0,2,1.0
treatment,pre-period,0545C2BABDB15C6A952ECEA222E8F5E6,7,5,1.4,5,1.0
treatment,post-period,0545C2BABDB15C6A952ECEA222E8F5E6,1,1,1.0,0,
treatment,post-period,0554FA7236F2A6E3A86F54C72EDE441D,21,3,7.0,3,1.0
treatment,pre-period,0554FA7236F2A6E3A86F54C72EDE441D,14,1,14.0,1,1.0
control,control-period,055A7B424EBE798EB0318F3DBA55418C,21,4,5.25,5,1.25
control,control-period,056123F19F35C84814901778BBA8075C,39,5,7.8,6,1.2
treatment,post-period,056C1D2163904A57265DC50D259ACEDF,3,1,3.0,0,
treatment,pre-period,056C1D2163904A57265DC50D259ACEDF,3,1,3.0,1,1.0
treatment,pre-period,056E739B4D312BF4EBB6B7ADA8CF24D3,2,1,2.0,1,1.0
treatment,post-period,056E739B4D312BF4EBB6B7ADA8CF24D3,6,4,1.5,4,1.0
control,control-period,0578D8B0D41D3F91C98DFE895A853882,2,1,2.0,1,1.0
treatment,pre-period,0579CD8B9F2F5C48A5F1ACECF88750A7,1,1,1.0,0,
treatment,post-period,0579CD8B9F2F5C48A5F1ACECF88750A7,8,3,2.6666666666666665,3,1.0
control,control-period,057A68AD449C046FFB45343991AEA0AC,1,1,1.0,1,1.0
treatment,pre-period,058520E12010190322386C3E356AEE8F,10,4,2.5,4,1.0
treatment,post-period,058520E12010190322386C3E356AEE8F,242,68,3.5588235294117645,104,1.5757575757575757
treatment,post-period,058AE4BB2F67DEA4C6ACAA22AEB71BF2,26,1,26.0,1,1.0
treatment,pre-period,058AE4BB2F67DEA4C6ACAA22AEB71BF2,7,1,7.0,0,
control,control-period,058F27C84973779389327603537D2A3A,30,1,30.0,1,1.0
control,control-period,05921BC5E3BE3FB4BB7B38A43E1D401F,32,4,8.0,4,1.3333333333333333
treatment,pre-period,0597C8E39ECFBDFB2C6289471B52B974,2,1,2.0,1,1.0
treatment,post-period,0597C8E39ECFBDFB2C6289471B52B974,1,1,1.0,0,
treatment,post-period,05A4DF1A1701E5448535C56529753864,24,5,4.8,4,1.0
treatment,pre-period,05A4DF1A1701E5448535C56529753864,8,1,8.0,1,1.0
control,control-period,05A63B82C9355A6050AD8FF2882892D3,9,1,9.0,1,1.0
control,control-period,05AFD9CC6BE47271BCD774268D50ACCC,25,6,4.166666666666667,7,1.1666666666666667
control,control-period,05B57F40FB0403F6F6C3052D28244AB8,4,3,1.3333333333333333,3,1.0
control,control-period,05B5E4EA8ABA0B2A4020DE6309DC183A,47,1,47.0,1,1.0
control,control-period,05BD9AF611C45368C75EC68D84DA6DC8,20,2,10.0,2,1.0
treatment,post-period,05D19A7D063E273AAFF197B0D8732C5D,8,1,8.0,0,
treatment,pre-period,05D19A7D063E273AAFF197B0D8732C5D,2,1,2.0,1,1.0
control,control-period,05DF062AAEAC7734D204BD3B296D00A7,13,1,13.0,2,2.0
treatment,post-period,05E40704E85030AC8EE03ED69A7D6FEF,31,4,7.75,3,1.0
treatment,pre-period,05E40704E85030AC8EE03ED69A7D6FEF,3,1,3.0,1,1.0
treatment,post-period,05F0FB18A61CCB1E2540F4D26721CCEC,21,8,2.625,8,1.0
treatment,pre-period,05F0FB18A61CCB1E2540F4D26721CCEC,3,1,3.0,1,1.0
control,control-period,05F7B2C58D627CE948B06C10E39CDF91,33,7,4.7142857142857144,7,1.0
treatment,post-period,05FB3382D94C7E963B408FD6CC357D33,5191,87,59.666666666666664,296,3.441860465116279
treatment,pre-period,05FB3382D94C7E963B408FD6CC357D33,162,8,20.25,17,2.125
control,control-period,0609C988CD429DF8D706827547C9FC2D,36,15,2.4,17,1.1333333333333333
treatment,pre-period,060D19333BDE9DED4C0B12F16CB944C1,1,1,1.0,1,1.0
treatment,post-period,060D19333BDE9DED4C0B12F16CB944C1,27,4,6.75,3,1.0
treatment,post-period,06146076DEB15AFF1DF48E928B18544C,2,1,2.0,0,
treatment,pre-period,06146076DEB15AFF1DF48E928B18544C,3,1,3.0,1,1.0
treatment,post-period,0617A09ABF92B4E5CD854F64FA86F8A2,16,1,16.0,1,1.0
treatment,pre-period,0617A09ABF92B4E5CD854F64FA86F8A2,17,3,5.666666666666667,3,1.0
treatment,post-period,061A7B2EE1D047BA5531AC0468C13DCC,26,2,13.0,2,1.0
treatment,pre-period,061A7B2EE1D047BA5531AC0468C13DCC,6,1,6.0,1,1.0
treatment,post-period,062964F7169622E4AEC91756FFB8261B,22,3,7.333333333333333,2,1.0
treatment,pre-period,062964F7169622E4AEC91756FFB8261B,4,1,4.0,1,1.0
control,control-period,062AA43995C9BD8E8696A2C69CA21757,18,3,6.0,3,1.0
control,control-period,062EFDCE1B385D06E7F44D063AF58A83,13,8,1.625,10,1.1111111111111112
control,control-period,0635682134C7480DD38F27D5CDCBCCC2,195,11,17.727272727272727,22,2.0
treatment,pre-period,063FC523E013130DB87EA578A4BDEF4A,18,1,18.0,1,1.0
treatment,post-period,063FC523E013130DB87EA578A4BDEF4A,7,1,7.0,0,
control,control-period,064207C08B675969153D238E75A5A539,7,2,3.5,2,1.0
treatment,post-period,064753F4DE400882CBF47644C9FCF8EE,167,24,6.958333333333333,33,1.375
treatment,pre-period,064753F4DE400882CBF47644C9FCF8EE,14,2,7.0,2,1.0
treatment,post-period,064AFD96EE4067943B1EBE1A16ADDF9A,27,5,5.4,4,1.0
treatment,pre-period,064AFD96EE4067943B1EBE1A16ADDF9A,3,1,3.0,1,1.0
treatment,pre-period,06609A3933F8675D7CAEEC4831E49CD1,16,2,8.0,2,1.0
treatment,post-period,06609A3933F8675D7CAEEC4831E49CD1,14,1,14.0,0,
treatment,pre-period,06620D97BAC22D30DDE66F80BC5E7EA3,5,2,2.5,3,1.5
treatment,post-period,06620D97BAC22D30DDE66F80BC5E7EA3,24,3,8.0,2,1.0
treatment,pre-period,06748F728B1C8DCEFE3E690671AE286E,103,2,51.5,2,1.0
