cohort,period_cohort,user_pseudo_id,level_starts,days,level_starts_per_day,sessions,sessions_per_day
treatment,pre-period,093E3E8BB59252BCD92BA5B7EAE55BBD,17,4,4.25,5,1.25
treatment,post-period,093E3E8BB59252BCD92BA5B7EAE55BBD,1,1,1.0,0,
control,control-period,094CDCB8EF23B9B55134A0B5E22DFFCB,9,4,2.25,4,1.0
control,control-period,096C23E69254818F7EE03C1239005F2B,109,52,2.0961538461538463,63,1.2115384615384615
control,control-period,0979C2C3C6EA76B666A51567414D0D54,22,1,22.0,1,1.0
control,control-period,098DB0065C9C20492CB3DA17508D4A25,9,2,4.5,2,1.0
control,control-period,09FCF0FC0E0F04B3DD8DFE96DA57DDF6,231,29,7.9655172413793105,39,1.3448275862068966
control,control-period,0A0EBC33126893C86F3F6272037A5003,21,6,3.5,7,1.1666666666666667
control,control-period,0A1BE2DE5E8F994D51EB1D5E287843AB,20,5,4.0,5,1.0
control,control-period,0A26E7281EC31038AD42F28C930FFF90,434,33,13.151515151515152,104,3.1515151515151514
control,control-period,0A559E43333092AD542831859378A1CA,18,2,9.0,1,1.0
control,control-period,0A57BC0F6D09549CED636C498A541EF4,7,1,7.0,1,1.0
control,control-period,0A66070B39FC63652BEB8B2993D75A5F,18,1,18.0,1,1.0
control,control-period,0A9710D5EF9520ED2030965DE41E7436,2,1,2.0,1,1.0
control,control-period,0A9D7004114F34B9CD49538E173E01A7,18,9,2.0,11,1.2222222222222223
control,control-period,0AAAEC4E502388A6A087D2E70BDD2BEA,20,2,10.0,4,2.0
control,control-period,0AC1056324F21E06DC2BD79511131505,124,7,17.714285714285715,20,2.8571428571428572
control,control-period,0ADCAB98C7686603278BCDD71FE16CC8,165,6,27.5,8,1.3333333333333333
control,control-period,0AF862AFEB5358EBFDA7AFE3AC908844,488,52,9.384615384615385,91,1.75
control,control-period,0B08423CCD5F1503B5A8B306FFED999C,2395,44,54.43181818181818,100,2.2727272727272729
control,control-period,0B15684EDDCE9514EFC8DDE9F80C5E7E,55,22,2.5,33,1.4347826086956521
control,control-period,0B188F0C6D6929853FE7E2E82D6E49DC,215,6,35.833333333333336,12,2.0
control,control-period,0B32FD716C1F4BD0DA3A8DCA896F18BB,44,8,5.5,15,1.875
control,control-period,0B427C5E490A982FADF586F82E797ACB,11,11,1.0,11,1.0
control,control-period,0B54075D3F149377C6D802237E9BC290,14,3,4.666666666666667,3,1.0
control,control-period,0B6DBBE287A8BDF4409999168D17A306,6,1,6.0,1,1.0
control,control-period,0B9739BFB4122E1863C894E34F812D56,529,41,12.902439024390244,95,2.375
control,control-period,0BDFA20E2A4CABDADB85B85099738047,14,1,14.0,1,1.0
control,control-period,0BF28246916A6D54E16290E925B16593,122,5,24.4,11,2.2
control,control-period,0C2A65FB041A694BAD1A79125F7A5560,64,2,32.0,2,1.0
control,control-period,0C5E8016F4E19EBF634A77113A1ACE00,3,2,1.5,2,1.0
control,control-period,0C777BD44F304574371C97674DCD0702,2307,107,21.560747663551403,287,2.6822429906542058
control,control-period,0C873D77670D1231E2C1DB2F833679D0,72,6,12.0,7,1.1666666666666667
control,control-period,0CAAA1B6F161BA4D363EB7A2DEF64A08,2583,87,29.689655172413794,266,3.0574712643678161
control,control-period,0CB4A2594E1F4E341283EACAFADEEA6B,5,1,5.0,2,2.0
control,control-period,0CCC9C71BC84C8B2503B9EE93191D263,57,2,28.5,2,1.0
control,control-period,0CD6C83306500046E45BA3710F778758,6,2,3.0,1,1.0
control,control-period,0CF1172485E8FC12110F04AB2374B308,140,20,7.0,24,1.263157894736842
treatment,post-period,0CFD16A46A05B5BD29D3A37284B94CBB,7,2,3.5,2,2.0
treatment,pre-period,0CFD16A46A05B5BD29D3A37284B94CBB,19,1,19.0,2,2.0
control,control-period,0D05EABFC1DA51098487F5C027AB9EAB,78,11,7.0909090909090908,15,1.3636363636363635
treatment,post-period,0D17D0247F158FA3E40D21EFF46D1651,1869,74,25.256756756756758,164,2.2162162162162162
treatment,pre-period,0D17D0247F158FA3E40D21EFF46D1651,164,6,27.333333333333332,14,2.3333333333333335
control,control-period,0D667187016A7A93F542C15F452F5F09,7,4,1.75,4,1.0
control,control-period,0D6B070B5CBD50C768D930776363DEA5,271,4,67.75,16,4.0
control,control-period,0D791C00AF304C3BDDA26EF979A320C8,183,42,4.3571428571428568,48,1.1707317073170731
control,control-period,0D9F9C6B687314F688FCAFD7968BC498,282,7,40.285714285714285,15,2.5
control,control-period,0D9FE426A56790E0051A28A24F63C63B,12,3,4.0,4,1.3333333333333333
control,control-period,0DA84BC7ED5E956674ECF8824209C614,47,7,6.7142857142857144,15,2.1428571428571428
control,control-period,0DF6A14F536F6514A6F18BC12A532A82,170,7,24.285714285714285,13,1.625
control,control-period,0E05204A44E4CA8857B83A2FED471037,45,4,11.25,3,1.0
treatment,post-period,0E05F56141200FF41FCC0C7FA297FF08,3456,55,62.836363636363636,196,3.5636363636363635
treatment,pre-period,0E05F56141200FF41FCC0C7FA297FF08,209,8,26.125,11,1.375
control,control-period,0E08FC0FB2F765821AE13677CFD8BAB2,10,2,5.0,3,1.5
control,control-period,0E0C0F08123CB27BA63037F04FDE9248,13,2,6.5,2,1.0
control,control-period,0E2CCDDBF685395F7AB13984405D72DA,222,6,37.0,9,1.5
treatment,pre-period,0E2DCEC2008A0C245A689B35809C87E3,3,1,3.0,1,1.0
treatment,post-period,0E2DCEC2008A0C245A689B35809C87E3,4,1,4.0,0,
control,control-period,0E3E6936E3AC681876BC1DD6ABE7E937,20,6,3.3333333333333335,7,1.1666666666666667
control,control-period,0E8DA2A671538E8E2B1FDD5C4E012DC7,38,9,4.2222222222222223,10,1.1111111111111112
control,control-period,0EACB4EF2C6B2798A047D3D84FBBF054,10,1,10.0,2,2.0
control,control-period,0ED6BC1D319AB5BD1F245628EA47EDBB,222,33,6.7272727272727275,59,1.7878787878787878
treatment,pre-period,0F196FC62639C7109787513B68D543FF,4,2,2.0,3,1.5
treatment,post-period,0F196FC62639C7109787513B68D543FF,7,2,3.5,1,1.0
control,control-period,0F1B0F6CA38544C25AF8F668E7BED38A,220,28,7.8571428571428568,44,1.6296296296296295
control,control-period,0F1E3849A80C270180AB6B9F9F7DA1BE,13,2,6.5,2,1.0
control,control-period,0F5D8942B1C96254F6B7E890DF1E614E,9,2,4.5,2,1.0
control,control-period,0F677DD7BD1130DA8BD5B14BACEF6DA1,10,1,10.0,1,1.0
control,control-period,0F93A84CB0774C5BAB3E5FF8A72A694D,189,33,5.7272727272727275,38,1.1176470588235294
control,control-period,0FAA93D302C2B18B489CC74F4638720B,9,1,9.0,1,1.0
treatment,post-period,10288A0C02CFF052E0911819003430C0,36,6,6.0,6,1.0
treatment,pre-period,10288A0C02CFF052E0911819003430C0,7,1,7.0,1,1.0
control,control-period,102CC7D8CD5D3E861EACE1BAB97E61EC,107,17,6.2941176470588234,25,1.3888888888888888
treatment,pre-period,103A2011A9093A6E5D9AED85C81FFEC7,1,1,1.0,0,
treatment,post-period,103A2011A9093A6E5D9AED85C81FFEC7,0,0,,1,1.0
control,control-period,104B0770BAE16E8B53DF330C95881893,40,1,40.0,3,3.0
treatment,pre-period,10522BF919A454B898540F51FFDCB292,268,8,33.5,11,1.375
treatment,post-period,10522BF919A454B898540F51FFDCB292,9,2,4.5,1,1.0
control,control-period,10AC373FFA8419B1A0B4A16D2AC42E67,40,5,8.0,6,1.2
treatment,pre-period,10B0D468B5E036E16D13DB53A65F2D49,8496,100,84.96,354,3.54
treatment,post-period,10B0D468B5E036E16D13DB53A65F2D49,6,1,6.0,0,
control,control-period,10CBADB028F320EBEB4E4176EECBD459,7,1,7.0,2,2.0
control,control-period,10E9895D671A377BE368B31F5A36D50E,29,2,14.5,2,1.0
control,control-period,10F1C28E2722735E622DE4A8686AA9B3,3,1,3.0,1,1.0
control,control-period,11164B418F7663E3947395F0283A97BE,44,2,22.0,2,1.0
control,control-period,112CB2002BE857C7D877423F153071F2,29,5,5.8,5,1.0
treatment,pre-period,11351D26EFC914BDB62006215A68D1D4,4,1,4.0,1,1.0
treatment,post-period,11351D26EFC914BDB62006215A68D1D4,34,6,5.666666666666667,6,1.2
control,control-period,11468BF0A22712945E53E193B02DC004,6,2,3.0,2,1.0
control,control-period,1170309EA1D2309A158B8F6346AECE88,16,2,8.0,2,1.0
control,control-period,117AD1627465CC9E03AB5D8825D42E07,75,28,2.6785714285714284,28,1.0
control,control-period,118590741147E0FE292B40BEF813F7FB,3,1,3.0,1,1.0
control,control-period,11966F5337D5D08DD1444F21484B7535,122,9,13.555555555555555,9,1.125
treatment,post-period,11A3238DEAD2345528E617ACC82D2027,45,2,22.5,4,2.0
treatment,pre-period,11A3238DEAD2345528E617ACC82D2027,75,5,15.0,11,2.2
control,control-period,11A8D6037368A4C4508B11ADB4353BC4,24,11,2.1818181818181817,12,1.0
treatment,post-period,1213ED1E96B0A49B51C0F7683DB2ACCC,19,12,1.5833333333333333,15,1.1538461538461537
treatment,pre-period,1213ED1E96B0A49B51C0F7683DB2ACCC,319,36,8.86111111111111,123,3.4166666666666665
control,control-period,121D1646CA270D59242CC0891B2C4A5C,14,2,7.0,3,1.5
control,control-period,121F942791F0082A6F10BF15C814165E,17,5,3.4,6,1.2
control,control-period,12225CC7E9BF710AB6AD6EE9DE761259,61,4,15.25,8,2.0
control,control-period,122A8AFE79074A57A8ED87F8034E12AB,23,2,11.5,2,1.0
control,control-period,1235BA39F8C700F0529EC1A33470BF0C,113,31,3.6451612903225805,43,1.3870967741935485
control,control-period,123A329CB40D32B8FF1936895824D075,6,1,6.0,1,1.0
control,control-period,12C60B55FAED4052AB2825241E7770DE,29,6,4.833333333333333,7,1.1666666666666667
control,control-period,12E0282C84F2370A038AC4F6C353227A,15,3,5.0,3,1.0
control,control-period,12E5626928FE0885DEEF068683E8BD63,2933,53,55.339622641509436,128,2.56
control,control-period,135BE5A161033D5A7BC7A0A8F4C80ACE,149,25,5.96,63,2.52
control,control-period,136C3AB6E42E34223C8A7503EE355E12,78,52,1.5,53,1.0192307692307692
control,control-period,136F2C0A18FA7D6A967EEBDC2C7E3346,95,41,2.3170731707317072,40,1.0
control,control-period,1386E5CC85E430BBC566EC1019DC3C32,2367,18,131.5,53,2.9444444444444446
control,control-period,1390D2417B013089ADBA4EF554360D5F,1,1,1.0,1,1.0
control,control-period,1396B6320C411426EB6FD60448C66475,3,1,3.0,1,1.0
control,control-period,139C75296C846C004181A2A4A80C13C2,11,1,11.0,1,1.0
treatment,pre-period,13AC12EF4C6A0EAF72795F720752AD98,466,5,93.2,15,3.0
treatment,post-period,13AC12EF4C6A0EAF72795F720752AD98,164,6,27.333333333333332,18,3.0
control,control-period,13C303BADAA654EAF82FF64A8764C27E,107,13,8.23076923076923,17,1.3076923076923077
control,control-period,13C310CA6E62FD1EB15BB8610D0CAE89,171,3,57.0,13,4.333333333333333
control,control-period,13E6C8A193FF140F7D4222B569DD5B50,549,86,6.3837209302325579,256,2.9425287356321839
control,control-period,13F95513D979142F2AECF50C8D14383E,45,3,15.0,3,1.0
treatment,pre-period,1406751556EEDB1D112BF86CACAE9C88,33,2,16.5,3,1.5
treatment,post-period,1406751556EEDB1D112BF86CACAE9C88,119,12,9.9166666666666661,13,1.0833333333333333
control,control-period,1440D2F8CDB64BFAA5621779B8C92571,59,1,59.0,2,2.0
treatment,post-period,148AAE2C85735FF43C7590EC37054C17,7,1,7.0,0,
treatment,pre-period,148AAE2C85735FF43C7590EC37054C17,232,27,8.5925925925925934,35,1.2962962962962963
control,control-period,14B3164775DC217E7AC2C1BD7D250D96,18,2,9.0,2,2.0
control,control-period,14CE6D01072B5345D007545B4B00A003,19,1,19.0,1,1.0
control,control-period,14DA224D43152600B258A6EFFCBF9676,30,3,10.0,5,1.6666666666666667
control,control-period,14DE6B1CDA3BFD44679C7E9382644AC7,64,6,10.666666666666666,9,1.2857142857142858
control,control-period,14EC3B93608EFEEC1FA22D31EB995403,32,6,5.333333333333333,6,1.0
control,control-period,153EB882FE1C43202528F580B9B5A250,81,7,11.571428571428571,13,1.8571428571428572
control,control-period,154287464C4F84AF86699BC92AA1DAB5,91,3,30.333333333333332,17,5.666666666666667
control,control-period,158D85747B252579015AE58305CBC8C1,67,31,2.161290322580645,41,1.3666666666666667
control,control-period,15B80FD06C15A48A1A78E5C30FB25C94,10,1,10.0,2,1.0
control,control-period,15C47A41E3BB561C3F8F797075D2A30A,92,11,8.3636363636363633,12,1.3333333333333333
control,control-period,1690882C6796582749CA6818CBF9773F,54,21,2.5714285714285716,23,1.0952380952380953
control,control-period,16C9D7C29B9E5B2DCF85633C74874924,16,2,8.0,2,1.0
control,control-period,1748CF87FC0F4E9B3997E2D8AEB022E9,1028,23,44.695652173913047,33,1.4347826086956521
control,control-period,176303D3809058BEA84AD4B59E6B6AF5,123,10,12.3,19,1.9
treatment,post-period,17636078D57884AD7EA5406C60E2BD10,86,9,9.5555555555555554,9,1.125
treatment,pre-period,17636078D57884AD7EA5406C60E2BD10,208,18,11.555555555555555,26,1.4444444444444444
control,control-period,17934EF7C1BC1CF2C7D942401FDE84CE,453,64,7.078125,70,1.1111111111111112
control,control-period,1794B99615BC9B95769150FEF2D44CD5,17,1,17.0,2,2.0
control,control-period,17CCC6417A528996BFB7D538189F62F1,8,1,8.0,3,1.5
control,control-period,1814CCF8B0BD30480C6D375743010FAE,56,5,11.2,6,1.2
control,control-period,182120EAC9171A5CCF780697DEC24C45,8,1,8.0,2,2.0
control,control-period,1845E883F5E20391CD3BD68F488A3C5E,81,7,11.571428571428571,8,1.1428571428571428
control,control-period,184FAE1A4D9A74D077E3D2DDD433C1C9,98,31,3.161290322580645,57,1.8387096774193548
control,control-period,1857669A1D474842D10E74B20FDA20CB,54,14,3.8571428571428572,23,1.6428571428571428
control,control-period,18688C841952131D9A6A01B81C8F65F3,22,4,5.5,4,1.0
control,control-period,186F51E5AACB37852E3650E7027E33B1,184,32,5.75,82,2.5625
control,control-period,187F3053F04D9D7EF93DF21DBDB59684,815,14,58.214285714285715,24,1.8461538461538463
control,control-period,193D4BFCCCDED344EE4C2A2809BF685F,20,2,10.0,2,1.0
control,control-period,194BCE80D71B28DE35D78017DB98B299,11,1,11.0,1,1.0
control,control-period,1954CEDB269C01AD957EE1DBCB9BF812,47,2,23.5,2,1.0
control,control-period,1969BB3D2ED500070DAECA1C8237654D,393,3,131.0,3,1.0
control,control-period,199086D0F914416790CE5401E8C6A56A,5,3,1.6666666666666667,3,1.0
control,control-period,19B1A4123A1AFB4FC3F6E92D145E1A1B,5,1,5.0,1,1.0
control,control-period,19C25C5D83C55D1BE25D79EEDBBCA217,2,1,2.0,1,1.0
control,control-period,19DEEA6B15B314DB0ED2A4936959D8F9,754,33,22.848484848484848,46,1.393939393939394
control,control-period,1A2C8AB161CC3D09C4454D30505C7DE2,229,27,8.481481481481481,77,2.8518518518518516
control,control-period,1A7F253A85B952C329518608DEC20138,74,12,6.166666666666667,12,1.0909090909090908
treatment,pre-period,1A8DD7AAAB0FABEAA3484E5449099D92,47,1,47.0,1,1.0
treatment,post-period,1A8DD7AAAB0FABEAA3484E5449099D92,1,1,1.0,0,
control,control-period,1AA208D48A122EEF5595CF96650B0CE6,76,3,25.333333333333332,3,1.0
control,control-period,1AD0B20B27274364A2C61556C48DBF35,27,2,13.5,3,1.5
control,control-period,1AD44ED4D2D182D1D26513A3E5DFCB4F,484,1,484.0,1,1.0
control,control-period,1AE32C0B80648F4516DE4830AD288E02,9,1,9.0,1,1.0
control,control-period,1AE81ECA4F8037BEB8E0A33D8AA6F337,148,26,5.6923076923076925,34,1.36
control,control-period,1AF671545EFF5575637F0171EDEA8AF3,33,4,8.25,4,1.0
control,control-period,1B0397F7967E35746E7C3CBB652C0CE4,176,22,8.0,25,1.1363636363636365
control,control-period,1B2FC37816CC4DDAACA97A75E685756F,114,44,2.5909090909090908,69,1.5681818181818181
control,control-period,1B3AD9683D475EFB398E131DFE65AE61,1275,59,21.610169491525422,172,2.9655172413793105
control,control-period,1B52FCA67CE9678CC86CF7127601A12A,26,3,8.6666666666666661,3,1.0
control,control-period,1B55AE3879DC30ADF72CDF8A0A7A87CD,58,8,7.25,12,1.3333333333333333
control,control-period,1B7FF293CEB974A6F4E4788D705FF314,62,7,8.8571428571428577,8,1.1428571428571428
control,control-period,1B959D672ABAE4A3BFB9D720D415E064,108,11,9.8181818181818183,20,1.8181818181818181
control,control-period,1BA8A3FE9D6AD54C6C77BC8A350BF2DA,7,1,7.0,2,2.0
control,control-period,1BB423329161893DD39846D9E68E7099,54,3,18.0,3,1.0
control,control-period,1BB448F355B22AFE32A99DF1997D2D61,44,4,11.0,6,1.5
control,control-period,1BCCB7359FBB9878B5930941E416E68F,3,2,1.5,2,1.0
control,control-period,1C29FBDB9C4CC0CF27B819B487A91CB2,26,1,26.0,1,1.0
control,control-period,1C2A732CC30E0D7FE298E9497F818CEE,115,12,9.5833333333333339,16,1.3333333333333333
treatment,pre-period,1C424EC32285911A5A4B5DEF8E5BCE3E,5,2,2.5,3,1.0
treatment,post-period,1C424EC32285911A5A4B5DEF8E5BCE3E,2,1,2.0,0,
control,control-period,1C6029D529C732F7269DA4DD944C8299,45,17,2.6470588235294117,36,2.1176470588235294
control,control-period,1C65943AF5217570A2E4D9B58B6E6FC4,64,17,3.7647058823529411,21,1.2352941176470589
control,control-period,1C679E92B10C3EEDDD36467BE24D7449,159,23,6.9130434782608692,24,1.0909090909090908
treatment,post-period,1C680D2C4C0688F56916D9A2F222FBB1,2,1,2.0,0,
treatment,pre-period,1C680D2C4C0688F56916D9A2F222FBB1,1,1,1.0,1,1.0
control,control-period,1C6A9F02E05398B13FBB2C403A1E1B0F,64,7,9.1428571428571423,7,1.1666666666666667
treatment,pre-period,1C707CBC0853CB4EA6B2EB075D1CDCE3,1,1,1.0,1,1.0
treatment,post-period,1C707CBC0853CB4EA6B2EB075D1CDCE3,8,1,8.0,0,
control,control-period,1C7E72E80416273A0C8795D758A4737C,17,2,8.5,2,1.0
treatment,post-period,1C9FE11104D8B61FADD4BC502B7B593B,1,1,1.0,0,
treatment,pre-period,1C9FE11104D8B61FADD4BC502B7B593B,3,1,3.0,1,1.0
control,control-period,1CD1D85F7C39D7814EB1A4C55646D717,20,1,20.0,1,1.0
control,control-period,1CDB183DBB7427164204AED3AEE70341,6,1,6.0,1,1.0
control,control-period,1CE03BB4BFFE9960A4E94D81D89355BC,55,14,3.9285714285714284,16,1.1428571428571428
control,control-period,1CF315BC6864E7A71A81E47925E18A61,75,67,1.1194029850746268,75,1.1194029850746268
control,control-period,1CFFA77ED72A9F56DC1F26007DFFC222,24,4,6.0,7,1.75
control,control-period,1D1DE937C56D8B8E818B6E1E2CD18001,4,1,4.0,2,2.0
control,control-period,1D280312674EF22428D1994F6383BF66,7,1,7.0,1,1.0
control,control-period,1D69BEAF4EEA4B54F708BD6E4E7BDA0A,10,2,5.0,4,2.0
control,control-period,1D7DE8A95370FDCB698B25F1E424C91D,320,19,16.842105263157894,32,1.6842105263157894
control,control-period,1DC9B625F2C4F54E9281D4D19F9FEBBB,26,1,26.0,1,1.0
